
spell_used_resref spell_used_ids resource_using	resource_using_ext
SPIN774 PSIONIC_MAZE sword01 cre
SPIN775 PSIONIC_MIND_BLAST sword01 cre
SPIN834 BRAIN_PSIONIC_BLAST sword01 cre
SPIN959 ULITHARID_PSIONIC_BLAST sword01 cre
SPIN910 PSIONIC_DOMINATION sword01 cre
SPIN909 PSIONIC_EGOWHIP sword01 cre
SPIN911 PSIONIC_BALLISTIC sword01 cre
SPIN912 PSIONIC_DETONATE sword01 cre
SPIN912 PSIONIC_DETONATE ipsion itm
SPIN911 PSIONIC_BALLISTIC ipsion itm
SPIN909 PSIONIC_EGOWHIP ipsion itm
SPIN910 PSIONIC_DOMINATION ipsion itm
SPIN959 ULITHARID_PSIONIC_BLAST ipsion itm
SPIN834 BRAIN_PSIONIC_BLAST ipsion itm
SPIN775 PSIONIC_MIND_BLAST ipsion itm
SPIN774 PSIONIC_MAZE ipsion itm
