
WIZARD_SNILLOCS_SNOWBALL_SWARM SPWI204
WIZARD_DECASTAVE SPWI216
WIZARD_CATS_GRACE SPWI225
WIZARD_ICELANCE SPWI327
WIZARD_LANCE_OF_DISRUPTION SPWI328
WIZARD_BELTYNS_BURNING_BLOOD SPWI422
WIZARD_EMOTION_COURAGE SPWI427
WIZARD_EMOTION_HOPE SPWI429
WIZARD_EMOTION_FEAR SPWI428
WIZARD_EMOTION_HOPELESSNESS SPWI411
WIZARD_MORDENKAINENS_FORCE_MISSILES SPWI430
WIZARD_SHOUT SPWI431
WIZARD_VITRIOLIC_SPHERE SPWI432
WIZARD_SHROUD_OF_FLAME SPWI524
WIZARD_OTILUKES_FREEZING_SPHERE SPWI628
WIZARD_DARTS_OF_BONE SPWI630
WIZARD_SOUL_EATER SPWI631
WIZARD_TROLLISH_FORTITUDE SPWI632
WIZARD_ACID_STORM SPWI724
WIZARD_SUFFOCATE SPWI726
WIZARD_MIND_BLANK SPWI802
WIZARD_GREAT_SHOUT SPWI806
WIZARD_IRON_BODY SPWI814
WIZARD_SUMMON_SHADOW SPWI526
WIZARD_MONSTER_SUMMONING_4 SPWI627
WIZARD_MONSTER_SUMMONING_7 SPWI901
WIZARD_MONSTER_SUMMONING_6 SPWI801
WIZARD_MONSTER_SUMMONING_5 SPWI706
WIZARD_MONSTER_SUMMONING_1 SPWI309
WIZARD_MONSTER_SUMMONING_2 SPWI407
WIZARD_MONSTER_SUMMONING_3 SPWI504
WIZARD_CONJURE_LESSER_EARTH_ELEMENTAL SPWI532
WIZARD_CONJURE_LESSER_FIRE_ELEMENTAL SPWI531
WIZARD_CONJURE_LESSER_AIR_ELEMENTAL SPWI534
WIZARD_CONJURE_LESSER_WATER_ELEMENTAL SPWI533
WIZARD_MORDENKAINENS_SWORD_IWD SPWI716
WIZARD_EXPEDITIOUS_RETREAT SPWI126
WIZARD_SHADOW_MONSTERS SPWI426
WIZARD_DEMI_SHADOW_MONSTERS SPWI525
WIZARD_ANTIMAGIC_SHELL SPWI610
WIZARD_LICH_TOUCH SPWI626
WIZARD_SHADES SPWI629
WIZARD_MALAVONS_RAGE SPWI709
WIZARD_SEVEN_EYES SPWI725
SEVEN_EYES_MIND SPIN107
SEVEN_EYES_MAGE SPIN109
SEVEN_EYES_SWORD SPIN108
SEVEN_EYES_VENOM SPIN110
SEVEN_EYES_FORTITUDE SPIN112
SEVEN_EYES_SPIRIT SPIN111
SEVEN_EYES_STONE SPIN113
