
CLERIC_CURSE SPPR112
CLERIC_CAUSE_LIGHT_WOUNDS SPPR114
CLERIC_SUNSCORCH SPPR115
CLERIC_CURE_MODERATE_WOUNDS SPPR217
CLERIC_ALICORN_LANCE SPPR218
CLERIC_BEAST_CLAW SPPR219
CLERIC_CAUSE_MODERATE_WOUNDS SPPR220
CLERIC_PRAYER SPPR316
CLERIC_CAUSE_DISEASE SPPR320
CLERIC_EXALTATION SPPR321
CLERIC_MOONBLADE SPPR322
CLERIC_CIRCLE_OF_BONES SPPR323
CLERIC_SPIKE_GROWTH SPPR324
CLERIC_CLOUDBURST SPPR325
CLERIC_MOLD_TOUCH SPPR326
CLERIC_STORM_SHELL SPPR327
CLERIC_CAUSE_MEDIUM_WOUNDS SPPR330
CLERIC_FAVOR_OF_ILMATER SPPR331
CLERIC_PRODUCE_FIRE SPPR419
CLERIC_STATIC_CHARGE SPPR420
CLERIC_RECITATION SPPR421
CLERIC_BLOOD_RAGE SPPR422
CLERIC_CLOUD_OF_PESTILENCE SPPR423
CLERIC_UNFAILING_ENDURANCE SPPR424
CLERIC_STAR_METAL_CUDGEL SPPR425
CLERIC_SMASHING_WAVE SPPR426
CLERIC_THORN_SPRAY SPPR427
CLERIC_WALL_OF_MOONLIGHT SPPR428
CLERIC_RIGHTEOUS_WRATH_OF_THE_FAITHFUL SPPR518
CLERIC_SPIKE_STONES SPPR519
CLERIC_SHIELD_OF_LATHANDER SPPR520
CLERIC_UNDEAD_WARD SPPR521
CLERIC_ANIMAL_RAGE SPPR522
CLERIC_MASS_CAUSE_LIGHT_WOUNDS SPPR523
CLERIC_ENTROPY_SHIELD SPPR615
CLERIC_WHIRLWIND SPPR617
CLERIC_SPIRITUAL_WRATH SPPR618
CLERIC_SYMBOL_PAIN SPPR714
CLERIC_SYMBOL_HOPELESSNESS SPPR716
CLERIC_IMPERVIOUS_SANCTITY_OF_MIND SPPR733
CLERIC_DESTRUCTION SPPR734
CLERIC_GREATER_SHIELD_OF_LATHANDER SPPR735
CLERIC_MIST_OF_ELDATH SPPR736
CLERIC_STALKER SPPR737
CLERIC_ENERGY_DRAIN SPPR739
CLERIC_CAUSE_SERIOUS_WOUNDS_IWD SPPR414
CLERIC_CAUSE_CRITICAL_WOUNDS_IWD SPPR510
CLERIC_GIANT_INSECT SPPR418
CLERIC_CHANT SPPR203
CLERIC_WITHER SPPR740
INNATE_BOMBARDIER_BEETLE_CLOUD SPIN191
