
spell_used_resref spell_used_ids resource_using	resource_using_ext
SPCL120 BARD_SONG_BALLAD #BARD1 SPL
SPCL115 BARD_SONG_CURRAN #BARD2 SPL
SPCL116 BARD_SONG_TYMORA #BARD3 SPL
SPCL117 BARD_SONG_KAUDIES #BARD4 SPL
SPWI431 WIZARD_SHOUT BARD_SONG_KAUDIES spl
SPWI806 WIZARD_GREAT_SHOUT BARD_SONG_KAUDIES spl
SPIN115 INNATE_MOURNFUL_WAIL BARD_SONG_KAUDIES spl
SPIN116 INNATE_DEATH_KNELL BARD_SONG_KAUDIES spl
SPIN139 INNATE_HARPY_WAIL_INTERNAL BARD_SONG_KAUDIES spl
SPIN117 INNATE_WAR_CRY BARD_SONG_KAUDIES spl
SPIN118 INNATE_UNDYING_LAMENT BARD_SONG_KAUDIES spl
SPIN119 INNATE_GREAT_ROAR BARD_SONG_KAUDIES spl
SPCL118 BARD_SONG_SIREN #BARD5 SPL
SPCL118 BARD_SONG_SIREN #cureent spl
SPCL119 BARD_SONG_SITH #BARD6 SPL
SPWI428 WIZARD_EMOTION_FEAR WIZARD_EMOTION_COURAGE spl
SPIN115 INNATE_MOURNFUL_WAIL WIZARD_EMOTION_HOPE spl
SPPR716 CLERIC_SYMBOL_HOPELESSNESS WIZARD_EMOTION_HOPE spl
SPWI427 WIZARD_EMOTION_COURAGE WIZARD_EMOTION_FEAR spl
SPWI429 WIZARD_EMOTION_HOPE WIZARD_EMOTION_HOPELESSNESS spl
SPWI432 WIZARD_VITRIOLIC_SPHERE WIZARD_VITRIOLIC_SPHERE-z spl
SPPR422 CLERIC_BLOOD_RAGE ring95 itm
SPPR422 CLERIC_BLOOD_RAGE WIZARD_MIND_BLANK spl
SPPR716 CLERIC_SYMBOL_HOPELESSNESS WIZARD_MIND_BLANK spl
SPWI904 WIZARD_MALAVONS_CORROSIVE_FOG ibody itm
SPWI726 WIZARD_SUFFOCATE ibody itm
SPWI035 TRAP_FLESH_TO_STONE ibody itm
SPIN143 INNATE_BEHOLDER_FLESH_TO_STONE ibody itm
SPWI030 TRAP_DEATH_FOG ibody itm
SPWI422 WIZARD_BELTYNS_BURNING_BLOOD ibody itm
SPPR736 CLERIC_MIST_OF_ELDATH ibody itm
