ids						resref	
DARK_MOON_BLINDNESS 				SPDM101 
DARK_MOON_BLUR					SPDM102	
DARK_MOON_FROZEN_FIST   			SPDM105 
DARK_MOON_MIRROR_IMAGE  			SPDM106 
DARK_MOON_VAMPIRIC_TOUCH  			SPDM108
DWARVEN_DEFENDER_DEFENSIVE_STANCE 		SPDWD02
CLERIC_CHROMATIC_ORB           			SPDR101		
CLERIC_WEB                     			SPDR201		
CLERIC_LIGHTNING_BOLT          			SPDR301		
CLERIC_IMPROVED_INVISIBILITY   			SPDR401		
CLERIC_CHAOS                  			SPDR501		
CLERIC_CHAIN_LIGHTNING         			SPDR601		
PSIONIC_SUPERIOR_INVISIBILITY  			SPIN544	
TEMPUS_CHAOS_OF_BATTLE				OHTMPS2
TEMPUS_HOLY_POWER				OHTMPS1	
TYR_EXALTATION					OHTYR1
TYR_DIVINE_FAVOR				OHTYR2
