tob_gear_armor	25stweap|armor
tob_gear_shield	25stweap|shield
tob_gear_helm	25stweap|helm
tob_gear_bag	25stweap|bag
tob_gear_ring1	25stweap|ring1
tob_gear_ring2	25stweap|ring2
tob_gear_cloak	25stweap|cloak
tob_gear_boots	25stweap|boots
tob_gear_amulet	25stweap|amulet
tob_gear_bracers	25stweap|bracers
tob_gear_belt	25stweap|belt
tob_gear_ammo1	25stweap|ammo1
tob_gear_ammo2	25stweap|ammo2
tob_gear_ammo3	25stweap|ammo3
tob_gear_misc1	25stweap|misc1
tob_gear_misc2	25stweap|misc2
tob_gear_misc3	25stweap|misc3
tob_gear_misc4	25stweap|misc4
tob_gear_misc5	25stweap|misc5
tob_gear_weapon1	25stweap|weapon1
min_str	abclasrq|min_str
min_dex	abclasrq|min_dex
min_con	abclasrq|min_con
min_int	abclasrq|min_int
min_wis	abclasrq|min_wis
min_chr	abclasrq|min_chr
mod_str	abclsmod|mod_str
mod_dex	abclsmod|mod_dex
mod_con	abclsmod|mod_con
mod_int	abclsmod|mod_int
mod_wis	abclsmod|mod_wis
mod_chr	abclsmod|mod_chr
dc_new_min_str	abdcdsrq|min_str
dc_new_min_dex	abdcdsrq|min_dex
dc_new_min_con	abdcdsrq|min_con
dc_new_min_int	abdcdsrq|min_int
dc_new_min_wis	abdcdsrq|min_wis
dc_new_min_chr	abdcdsrq|min_chr
dc_old_min_str	abdcscrq|min_str
dc_old_min_dex	abdcscrq|min_dex
dc_old_min_con	abdcscrq|min_con
dc_old_min_int	abdcscrq|min_int
dc_old_min_wis	abdcscrq|min_wis
dc_old_min_chr	abdcscrq|min_chr
l_g	alignmnt|l_g
l_n	alignmnt|l_n
l_e	alignmnt|l_e
n_g	alignmnt|n_g
n_n	alignmnt|n_n
n_e	alignmnt|n_e
c_g	alignmnt|c_g
c_n	alignmnt|c_n
c_e	alignmnt|c_e
color_metal	clascolr|metal
color_minor_cloth	clascolr|minor_cloth
color_main_cloth	clascolr|main_cloth
color_leather	clascolr|leather
color_armor	clascolr|armor
initial_skill_pick_pockets	clasiskl|pick_pockets
initial_skill_open_locks	clasiskl|open_locks
initial_skill_find_traps	clasiskl|find_traps
initial_skill_move_silently	clasiskl|move_silently
initial_skill_hide_in_shadows	clasiskl|hide_in_shadows
initial_skill_detect_illusion	clasiskl|detect_illusion
initial_skill_set_traps	clasiskl|set_traps
clastext_classid	clastext|classid
clastext_kitid	clastext|kitid
clastext_lower	clastext|lower
clastext_descstr	clastext|descstr
clastext_mixed	clastext|mixed
clastext_biography	clastext|biography
clastext_fallen	clastext|fallen
clastext_briefdesc	clastext|briefdesc
clastext_fallen_notice	clastext|fallen_notice
thac0_bonus	clasthac|bonus
bg1_small_sword	clasweap|small_sword
bg1_large_sword	clasweap|large_sword
bg1_blunt	clasweap|blunt
bg1_missile	clasweap|missile
bg1_bow	clasweap|bow
bg1_spiked	clasweap|spiked
bg1_axe	clasweap|axe
bg1_spear	clasweap|spear
kit_race_human	clsrcreq|human
kit_race_elf	clsrcreq|elf
kit_race_half_elf	clsrcreq|half_elf
kit_race_dwarf	clsrcreq|dwarf
kit_race_halfling	clsrcreq|halfling
kit_race_gnome	clsrcreq|gnome
kit_race_halforc	clsrcreq|halforc
gets_prof_apr	clswpbon|gets_prof_apr
unarmed_divisor	clswpbon|unarmed_divisor
zero_skill_thac0	clswpbon|zero_skill_thac0
crippling_strike_0	crippstr|0
crippling_strike_1	crippstr|1
crippling_strike_2	crippstr|2
crippling_strike_3	crippstr|3
crippling_strike_4	crippstr|4
crippling_strike_5	crippstr|5
crippling_strike_6	crippstr|6
crippling_strike_7	crippstr|7
crippling_strike_8	crippstr|8
crippling_strike_9	crippstr|9
crippling_strike_10	crippstr|10
crippling_strike_11	crippstr|11
crippling_strike_12	crippstr|12
crippling_strike_13	crippstr|13
crippling_strike_14	crippstr|14
crippling_strike_15	crippstr|15
crippling_strike_16	crippstr|16
crippling_strike_17	crippstr|17
crippling_strike_18	crippstr|18
crippling_strike_19	crippstr|19
crippling_strike_20	crippstr|20
crippling_strike_21	crippstr|21
crippling_strike_22	crippstr|22
crippling_strike_23	crippstr|23
crippling_strike_24	crippstr|24
crippling_strike_25	crippstr|25
crippling_strike_26	crippstr|26
crippling_strike_27	crippstr|27
crippling_strike_28	crippstr|28
crippling_strike_29	crippstr|29
crippling_strike_30	crippstr|30
crippling_strike_31	crippstr|31
crippling_strike_32	crippstr|32
crippling_strike_33	crippstr|33
crippling_strike_34	crippstr|34
crippling_strike_35	crippstr|35
crippling_strike_36	crippstr|36
crippling_strike_37	crippstr|37
crippling_strike_38	crippstr|38
crippling_strike_39	crippstr|39
crippling_strike_40	crippstr|40
dualclass_to_fighter	dualclas|fighter
dualclass_to_cleric	dualclas|cleric
dualclass_to_mage	dualclas|mage
dualclass_to_thief	dualclas|thief
dualclass_to_druid	dualclas|druid
dualclass_to_ranger	dualclas|ranger
fallen	fallen|fallen
hp_table	hpclass|table
lore_rate	lore|rate
hla_abbrev	luabbr|abbrev
spec_race_class	mgsrcreq|class
spec_race_human	mgsrcreq|human
spec_race_elf	mgsrcreq|elf
spec_race_half_elf	mgsrcreq|half_elf
spec_race_dwarf	mgsrcreq|dwarf
spec_race_halfling	mgsrcreq|halfling
spec_race_gnome	mgsrcreq|gnome
spec_race_halforc	mgsrcreq|halforc
weapon_slots	numwslot|slots
profs_first_level	profs|first_level
profs_rate	profs|rate
profsmax_first_level	profsmax|first_level
profsmax_other_levels	profsmax|other_levels
profsmax_3	profsmax|3
profsmax_6	profsmax|6
profsmax_9	profsmax|9
sneak_attack_0	sneakatt|0
sneak_attack_1	sneakatt|1
sneak_attack_2	sneakatt|2
sneak_attack_3	sneakatt|3
sneak_attack_4	sneakatt|4
sneak_attack_5	sneakatt|5
sneak_attack_6	sneakatt|6
sneak_attack_7	sneakatt|7
sneak_attack_8	sneakatt|8
sneak_attack_9	sneakatt|9
sneak_attack_10	sneakatt|10
sneak_attack_11	sneakatt|11
sneak_attack_12	sneakatt|12
sneak_attack_13	sneakatt|13
sneak_attack_14	sneakatt|14
sneak_attack_15	sneakatt|15
sneak_attack_16	sneakatt|16
sneak_attack_17	sneakatt|17
sneak_attack_18	sneakatt|18
sneak_attack_19	sneakatt|19
sneak_attack_20	sneakatt|20
sneak_attack_21	sneakatt|21
sneak_attack_22	sneakatt|22
sneak_attack_23	sneakatt|23
sneak_attack_24	sneakatt|24
sneak_attack_25	sneakatt|25
sneak_attack_26	sneakatt|26
sneak_attack_27	sneakatt|27
sneak_attack_28	sneakatt|28
sneak_attack_29	sneakatt|29
sneak_attack_30	sneakatt|30
sneak_attack_31	sneakatt|31
sneak_attack_32	sneakatt|32
sneak_attack_33	sneakatt|33
sneak_attack_34	sneakatt|34
sneak_attack_35	sneakatt|35
sneak_attack_36	sneakatt|36
sneak_attack_37	sneakatt|37
sneak_attack_38	sneakatt|38
sneak_attack_39	sneakatt|39
sneak_attack_40	sneakatt|40
strtgold_sides	strtgold|sides
strtgold_rolls	strtgold|rolls
strtgold_modifier	strtgold|modifier
strtgold_multiplier	strtgold|multiplier
thac0_1	thac0|1
thac0_2	thac0|2
